Hold,RelativeHoldStartS,SteeringRad,BrakingRatio,SpectralRadiusClosedMap,SpectralRadiusAbsoluteClosedMap,LateralBoundM,LateralBoundFeedbackOffM,SteeringFeedbackSupportRad,MaximumArithmeticIncrement,MaximumTireBetaDerivativeN
23,1.1,-0.69807155025216,0.997629111149198,1.55083358051186,2.18728955778908,75494822991.5666,3.55797938117686e-08,74058929329.3026,5.18089079615876e-09,94302.1583979802
24,1.15,-0.698121860316808,0.983280302158497,1.40378456891026,1.48488743091589,166858292559.985,4.29988386576152e-08,163359584020.765,5.58058912894436e-09,35126.6411001083
25,1.2,0.698121802547944,-0.999987998016278,26.8846173339907,27.0477959876669,899770697866.135,5.17157450576596e-08,273207929318.955,6.11723313163804e-09,1327761.65403096
26,1.25,-0.69812201480325,0.975711988059441,1.36899280649028,1.45123924485504,3069660468541.58,6.163865621352e-08,888934447995.403,6.51663893831369e-09,28975.3963581664
27,1.3,-0.698122009449628,0.98964773614802,1.43822798656369,1.5363412978874,6087851386209.12,7.3087909768231e-08,3229872929941.14,6.92883235524091e-09,44858.0529356175
28,1.35,0.698121751608956,-0.999987996895183,28.0141712728763,28.0527246644193,22636319864127.1,8.6193303401857e-08,5792745063439.44,7.56821012479488e-09,1327699.64472552
29,1.4,-0.698118868830168,0.999987996812637,21.3272961784285,21.3908056424357,88860306247934.8,1.00832416290829e-07,18952604771708,8.1426886421648e-09,1327695.07929493
30,1.45,-0.650029179100554,-0.999987995704582,19.1689194988524,19.171665227391,1.49536240129278e+15,1.17551926161294e-07,1.99029780180069e+15,8.83647713360586e-09,1327633.8004487
31,1.5,-0.698120591856913,-0.999987994150876,21.8019517307924,21.8043300598116,2.69954230253758e+16,1.36043041739429e-07,4.5050345990945e+16,9.568911579661e-09,1327547.88995489
32,1.55,-0.698120953192087,-0.999987953829594,22.3336142623819,22.3358888700809,5.00234018879363e+17,1.5633737014418e-07,8.65966815293363e+17,1.03315290073249e-08,1325324.18463368
33,1.6,0.69812066933564,0.999987020788413,25.7993142272708,25.8859232626769,8.16341121860887e+19,1.78461750795735e-07,1.85764548062324e+19,1.1194336139057e-08,1276797.91323623
34,1.65,-0.698119358214773,-0.999985117070658,20.6203659511141,20.6358278381567,3.40730558337958e+20,2.03145602981151e-07,7.2790304135605e+19,1.20147758445568e-08,1192343.77959252
35,1.7,-0.698118535097625,-0.862544735548155,1.05925392433906,1.40935352200418,4.15365943942056e+21,2.29870617066673e-07,9.36703137078164e+21,1.28170013694999e-08,11089.5297289947
36,1.75,-0.698117391377095,0.840861894269936,1.16827998985638,1.24135695576119,1.34474767559635e+22,2.58764410522958e-07,1.68903098108088e+22,1.35177239520342e-08,10106.3078116287
37,1.8,-0.698115703732664,-0.999967778914755,14.1716420312077,14.174011546133,3.129687039295e+22,2.90792302220951e-07,2.5475362075359e+22,1.43040553654482e-08,810345.026161262
38,1.85,0.378515310207321,-0.999981232014401,13.3779505650808,13.4219713641809,1.31646306841232e+24,3.25230313198658e-07,3.02642162543059e+23,1.52123181837382e-08,1061782.60005302
39,1.9,0.698111689562025,-0.539800567696868,1.16078421864182,1.19460174965014,4.30989427551815e+24,3.62126969276122e-07,7.7616765228876e+23,1.59947487012213e-08,4171.51304289931
40,1.95,-0.247340555085352,-0.096391924987593,1.01493257914864,1.09591314700797,7.7754766309911e+24,4.01535640157469e-07,1.53191884556028e+24,1.67832954844799e-08,629.989387320599
41,2,0.259748375955844,0.173047033649059,1.01266108992932,1.08684550778327,1.15145595211323e+25,4.44079567170689e-07,2.32514505569587e+24,1.75756585442018e-08,1142.9614624646
42,2.05,0.427170793057447,0.213250135549496,1.02594270241468,1.11386337512856,1.55686954646894e+25,4.89908238579758e-07,3.17975658167739e+24,1.83704431731324e-08,1419.91173709587
43,2.1,0.021955758717925,-0.000668544240497504,1.01213603883413,1.04268227800008,1.99570728875728e+25,5.39118940865616e-07,4.12485540700967e+24,1.91653679570368e-08,4.34906395910567
44,2.15,0.00990211875277949,-0.0256218081187319,1.0096354120992,1.0664688357695,2.46788350073254e+25,5.91694661845572e-07,5.0848660910167e+24,1.9675562943485e-08,166.731600574206
45,2.2,0.0117453178006406,-0.000974400988778434,1,1.0592713773321,2.93509475016506e+25,6.45043438317278e-07,6.15963963442371e+24,1.52630346830584e-08,5.9964234643956
46,2.25,0.00710525550494499,0.0216117579202421,1,1.11780390923873,3.28427335703066e+25,6.93541353162573e-07,8.35421442075729e+24,7.68517458866282e-09,49.7448687490554
47,2.3,0.00224372534322008,0.0356755933817827,1,1.09863135479766,3.53799590219612e+25,7.36173906339719e-07,1.0072891504402e+25,4.57544826839384e-09,7.8719881484015
48,2.35,-0.00141645919209808,0.0425858122779532,1,1.08961575193677,3.79324397093297e+25,7.7606173054211e-07,1.11069515197705e+25,4.55967488350563e-09,0.0933034225907972
49,2.4,-0.00384310732463881,0.0441942992032603,1,1.09022551847975,4.07936452892903e+25,8.15142993175422e-07,1.22000987212451e+25,4.55481107341103e-09,0.195455982482315
50,2.45,-0.00528789281681464,0.0424601484627078,1,1.090510878586,4.39816916246307e+25,8.54429390238504e-07,1.33594731056092e+25,4.55135088659417e-09,0.219994642803487
