Scenario,TimeS,SteerRad,BrakingRatio,FrontSlipRad,ReportedAffineFrontForceN,IndependentFialaFrontForceN,StaticCombinedSlipCapacityN,AffineForceCapacityRatio,PredictedVyMps,ActualVyMps,PredictedYawRateRadps,ActualYawRateRadps,VxPredictionErrorMps,VyPredictionErrorMps,YawRatePredictionErrorRadps,HorizonSteps
circular_oncoming,0.4,0.0310005888049994,0.0169049436731266,-0.00476556663921318,712.258819415373,622.193583033429,6504.34368891813,0.109505102048788,0.112033397518455,0.109870059515685,0.100501025832568,0.100051802017473,-0.00140096981072624,-0.00216333800276997,-0.000449223815095254,16
circular_oncoming,0.45,0.0310349760606984,0.0168201884013503,-0.00489275791458298,726.031454223342,638.232035308277,6504.35298752067,0.111622394359026,0.111849910651793,0.109556404633955,0.100565239129766,0.10024178623389,-0.00137410246076897,-0.00229350601783843,-0.000323452895875986,16
circular_oncoming,0.5,0.0310315049791904,0.0167727812284347,-0.00489194385573105,725.935322136492,638.129495168965,6504.35816823059,0.111607525809725,0.111725170512115,0.109511087382337,0.100591336239636,0.100310451350742,-0.00137354325908845,-0.00221408312977774,-0.000280884888894203,16
circular_oncoming,0.55,0.0310228698972037,0.016768319425613,-0.00487744718263104,724.363150243588,636.302963099398,6504.35865506841,0.111365806939188,0.111680491128963,0.109647142948337,0.100583911131492,0.100238913117794,-0.00138935737228252,-0.0020333481806262,-0.000344998013697279,16
circular_oncoming,0.6,0.0310219482508074,0.0167935467493172,-0.00487372135042848,723.963246058453,635.833449975846,6504.35590075099,0.111304371578878,0.111726799106952,0.109871720868123,0.100568955069521,0.100178836160313,-0.0014117304102701,-0.00185507823882958,-0.000390118909208301,16
circular_oncoming,0.65,0.0310200690645627,0.016829557948257,-0.00485843527677537,722.311930611986,633.906928348618,6504.35196187485,0.111050560431816,0.111796650503787,0.110065447871721,0.100555900410212,0.100167144906638,-0.00143211133327803,-0.00173120263206542,-0.000388755503573146,16
circular_oncoming,0.7,0.0310140186666903,0.0168615760754031,-0.00483473941006486,719.748433871626,630.919686838765,6504.3484526699,0.110656499895264,0.111840690838326,0.110178380578879,0.100542360791824,0.10015628236525,-0.00144540927159653,-0.00166231025944651,-0.000386078426573719,16
circular_oncoming,0.75,0.0310084587645395,0.0168826370942739,-0.00481950258587231,718.100175322453,628.998307489859,6504.34614073257,0.110403130427738,0.111861084834438,0.110225939600968,0.100528573606057,0.100133743432352,-0.00145091201392589,-0.00163514523346962,-0.000394830173704716,16
circular_oncoming,0.8,0.0310055380974378,0.0168916037048807,-0.0048152276211245,717.638240201426,628.459153705055,6504.34515556209,0.110332127683561,0.111869779521551,0.110230741660186,0.100517455056556,0.100119234861254,-0.00145064999595768,-0.00163903786136491,-0.000398220195302279,16
circular_oncoming,0.85,0.0310035028948008,0.0168910411091945,-0.00481491071901419,717.603846049771,628.419185491392,6504.34521739043,0.110326838761747,0.111866965487579,0.110205218786604,0.100509384304368,0.100117091490458,-0.00144727737139405,-0.00166174670097506,-0.000392292813910775,16
circular_oncoming,0.9,0.0310011505032436,0.0168852172797048,-0.00481544337106087,717.660720580262,628.486366757386,6504.34585729864,0.110335571989144,0.111852715478713,0.110163343885211,0.100502582710625,0.100116330927322,-0.0014430004069812,-0.00168937159350209,-0.000386251783303024,16
circular_oncoming,0.95,0.0309988580778276,0.0168780790510234,-0.00481746342763701,717.878617175448,628.741138398542,6504.34664132875,0.110369058840443,0.111833456870727,0.110121380381701,0.100495898492582,0.100111722882012,-0.00143930508571977,-0.0017120764890259,-0.000384175610569512,16
circular_oncoming,1,0.0309969019338221,0.0168720838920966,-0.00482040977128132,718.19709173283,629.112719560462,6504.34729955313,0.110418011009678,0.111815483595729,0.110089277788129,0.100489215437264,0.100105677311488,-0.00143692013752528,-0.0017262058075995,-0.000383538125776212,16
circular_oncoming,1.05,0.0279809573562944,0.0160393234225593,-0.00180859635823852,391.776286280699,241.045609898764,6504.43645768333,0.0602321644356931,0.103379622604207,0.10459998064282,0.0930261357615095,0.0937519133919155,-0.00143767405334394,0.00122035803861242,0.000725777630406002,72
circular_oncoming,1.1,0.0279801917048308,0.0283186835141576,-0.00331824331531884,555.479334060404,437.62573941099,6502.66431638567,0.0854233444990671,0.102361378201998,0.10111104482471,0.0916185480956837,0.0887211976944854,-0.00251704175245671,-0.00125033337728772,-0.0028973504011983,72
circular_oncoming,1.15,0.0269324920249952,0.00984586849672731,-0.00339371925533691,562.396369450357,447.348220171802,6504.95796256897,0.0864565724615772,0.0987575530788488,0.0982600338524833,0.087791859278161,0.0871408589819948,-0.000859683912821652,-0.000497519226365442,-0.000651000296166201,72
circular_oncoming,1.2,0.0268614515888108,0.0151059177888128,-0.00383952629721107,611.530446521953,504.541642049842,6504.53102702811,0.0940160703332609,0.0978519324135635,0.0959006049906774,0.0872279559153458,0.0865788439765437,-0.0012250681441337,-0.0019513274228861,-0.000649111938802169,72
circular_oncoming,1.25,0.0267315252978211,0.0165021432736106,-0.00402901146249976,632.244826902578,528.741628112149,6504.3874637668,0.0972028235440381,0.0968216652809597,0.0947912138798256,0.0867419955584615,0.0864912149958158,-0.00139142181805241,-0.00203045140113413,-0.000250780562645714,72
circular_oncoming,1.3,0.0265606596239615,0.0167667624065125,-0.00398211737306284,627.188045109494,522.758507077612,6504.35882492794,0.0964258064462553,0.0960122701381841,0.0942247501978573,0.0862794821320732,0.0860127014472873,-0.00142973558885018,-0.00178751994032678,-0.000266780684785903,72
circular_oncoming,1.35,0.0262746186308123,0.0168430809701208,-0.0038252194992843,610.18291313923,502.711413916704,6504.35048055782,0.0938115058472218,0.0950853159377509,0.0936495582212275,0.0854582508636164,0.0850731403365821,-0.00144493289249681,-0.00143575771652332,-0.000385110527034285,72
circular_oncoming,1.4,0.0259017279327002,0.0169022792526332,-0.00365225278014708,591.42984575253,480.559363528191,6504.34398194664,0.0909284391160883,0.0939573744398472,0.0927633781980034,0.0843226849381347,0.0838439439608166,-0.00145592778032722,-0.00119399624184383,-0.000478740977318093,72
circular_oncoming,1.45,0.0254574010119565,0.0169304178406045,-0.00348287767664476,573.060784583537,458.814573183005,6504.34088497934,0.0881043590299707,0.0925618263593888,0.091475282829746,0.0829417617722459,0.0824312583138876,-0.00146296865714746,-0.00108654352964288,-0.000510503458358305,64
circular_oncoming,1.5,0.024928387742316,0.0169197700672234,-0.00329682651227609,552.882285859579,434.868665417012,6504.34205749229,0.0850020311005507,0.0908233934655546,0.0897865374790682,0.0813036929570294,0.0807891403276838,-0.00146657962616459,-0.00103685598648631,-0.000514552629345605,64
circular_oncoming,1.55,0.024330601075173,0.0168644130246408,-0.00311680449488896,533.359680098093,411.638668335553,6504.34814141688,0.082000481601206,0.0887912284517815,0.0877834387176943,0.0794377484163288,0.0788901864889919,-0.00146560234329485,-0.00100778973408717,-0.000547561927336959,64
circular_oncoming,1.6,0.0236257789029201,0.0168053951395591,-0.00290002923549564,509.8606456789,383.587506480432,6504.35460571514,0.0783875844085905,0.0863878684907692,0.0854664136830647,0.0772452564387027,0.076680362939529,-0.00146648486235712,-0.000921454807704433,-0.000564893499173685,64
circular_oncoming,1.65,0.0227734431088507,0.0167971223686158,-0.00261416437207021,478.880572238682,346.464597708275,6504.35551003001,0.073624599931573,0.0835058853261149,0.0827316833063296,0.0746148269547658,0.074022320128408,-0.00147580266073177,-0.000774202019785369,-0.000592506826357808,64
circular_oncoming,1.7,0.021737637313203,0.0167595631868354,-0.00225448084643171,439.902704604757,299.542694443851,6504.35961010565,0.067631977777073,0.0800256985237386,0.0794515713802651,0.0714254780804571,0.0707776785351161,-0.00148687963907257,-0.000574127143473546,-0.000647799545340999,64
circular_oncoming,1.75,0.0204586240846122,0.0167096587200581,-0.0017949392376563,390.108520413529,239.248074512633,6504.36504362735,0.0599764185738219,0.0757544773416959,0.0754461026899148,0.067497086724389,0.0667836668748369,-0.00150329313296815,-0.000308374651781115,-0.000713419849552088,64
circular_oncoming,1.8,0.0188520759092875,0.0166446004669827,-0.00119385231767498,324.981786386506,159.794110966425,6504.37210273249,0.0499635908360749,0.0704168617183477,0.0704573661360873,0.0625823523748403,0.0617889218472978,-0.00152883683185401,4.05044177396174e-05,-0.00079343052754248,64
circular_oncoming,1.85,0.0168037916062893,0.0165129165060771,-0.000400869443400204,239.068002080238,53.9509640372919,6504.38630671488,0.0367548898246455,0.0636382792684533,0.06414396210877,0.0563390853522759,0.055436328838514,-0.00156491910943224,0.000505682840316671,-0.000902756513761968,56
circular_oncoming,1.9,0.0140654898686585,0.0165999684176979,0.000744105370041468,115.021283553657,-99.9075726330928,6504.37692957456,0.0176836743625158,0.0546559103681977,0.0558804749616076,0.0480710834339626,0.0470514846351649,-0.00165622211058469,0.00122456459340989,-0.00101959879879764,56
circular_oncoming,1.95,0.0103588122444748,0.016475208293056,0.00235460055728447,-59.474079212851,-312.627511836386,6504.39035329566,0.00914368234106929,0.0425623158689448,0.0448133757519693,0.0369298433326525,0.0356900373949953,-0.00178694457113515,0.0022510598830245,-0.00123980593765711,56
circular_oncoming,2,-0.000498819311376408,0.0157366938052795,0.0103849579227656,-929.732812757148,-1303.32895315551,6504.46774016993,0.142937569974459,0.00991766443283184,0.0194692934803662,0.00740660007376033,0.00815753535483796,-0.00262633283071523,0.00955162904753434,0.000750935281077629,56
circular_oncoming,2.05,-0.0413659719216125,0.0147426407040116,0.0445482115108303,-4632.18648013679,-4351.96115663159,6504.56630026335,0.712143787349703,-0.109380337451943,-0.0613155161903468,-0.100090992324879,-0.0845662900383365,-0.0100135928379608,0.048064821261596,0.0155247022865426,56
circular_oncoming,2.1,-0.624096818328588,-0.0133363205985939,0.605150402063738,-65390.8638794543,-6504.69475309638,6504.69475309638,10.052872019602,-1.75282769177183,-0.150195023549019,-1.56255492834157,-0.189045057327235,-0.122470370862471,1.60263266822281,1.37350987101433,56
circular_oncoming,2.15,-0.41080196890862,0.127064113064437,0.366837803318594,-39595.409000932,-6452.54483134854,6452.54483134854,6.13640199887721,-1.1740149877959,-0.262847237386297,-1.05927274923314,-0.293826127926005,-0.142837470476559,0.911167750409599,0.765446621307132,56
