scenario,variant,time,feasible,exitFlag,identifier,message,horizonSteps,nativeSolves,restorationSolves,finalRestorationSlack,targetPositionRadius1s,targetSpeedLower,targetSpeedUpper,targetCourseWidth,elapsedSeconds
estimated_circular_oncoming,fresh,1.05,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,72,18,6,123.568138551779,47.9304600716267,0,21.331823907071,6.28318530717959,0.322608
estimated_circular_oncoming,noTarget,1.05,1,1,,solver exit flag 1: Clarabel status 1,16,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007078
estimated_circular_oncoming,noRoadRows,1.05,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,72,18,6,122.05184875161,47.9304600716267,0,21.331823907071,6.28318530717959,0.29479
estimated_circular_oncoming,noRoad,1.05,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,72,18,6,122.05184875161,47.9304600716267,0,21.331823907071,6.28318530717959,0.288679
estimated_circular_oncoming,predictedSuccessor,1.05,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,72,18,6,123.566930441437,47.9304600716267,0,21.331823907071,6.28318530717959,0.322153
estimated_circular_oncoming,zeroEgoBounds,1.05,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,72,18,6,119.344317181718,47.9304600716267,0,21.331823907071,6.28318530717959,0.295765
estimated_circular_oncoming,zeroTargetBounds,1.05,1,1,,solver exit flag 1: Clarabel status 1,72,1,0,NaN,4.35758049405066e-13,10.0346023221936,10.0346023221936,0,0.039721
estimated_circular_oncoming,zeroAllBounds,1.05,1,1,,solver exit flag 1: Clarabel status 1,72,1,0,NaN,4.35758049405066e-13,10.0346023221936,10.0346023221936,0,0.035087
estimated_circular_oncoming,exactTargetMotion,1.05,1,1,,solver exit flag 1: Clarabel status 1,72,1,0,NaN,1.41581901574251,10.0346023221936,10.0346023221936,0,0.039109
estimated_circular_oncoming,zeroTargetYawBound,1.05,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,72,18,6,123.568136462521,47.9304600716267,0,21.331823907071,6.28318530717959,0.318092
estimated_circular_oncoming,zeroTargetVelocityBound,1.05,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: Solver success rejected by primal feasibility check: 4.17e-07; alternate directions rejected: solver exit flag -2: Clarabel status 2,72,15,5,0.541674201499761,2.32729376886204,10.0346023221936,10.0346023221936,0,0.336839
estimated_circular_oncoming,zeroTargetVelocityYawBounds,1.05,1,1,,solver exit flag 1: Clarabel status 1,72,2,0,NaN,2.13463911886464,10.0346023221936,10.0346023221936,0,0.081706
estimated_circular_oncoming,zeroTargetVelocityAccelerationBounds,1.05,1,1,,solver exit flag 1: Clarabel status 1,72,12,3,0.0613441110547201,1.41581901574251,10.0346023221936,10.0346023221936,0,0.412886
estimated_circular_oncoming,tightVelocityBox,1.05,0,-999,,Fixed-direction trajectory optimization failed: solverRejected: solver exit flag -2: Clarabel status 2; alternate directions rejected: solver exit flag -2: Clarabel status 2,72,18,6,111.222913493019,47.5844678991964,2.07637234218499,20.4765826328613,2.60735778440901,0.33726
