scenario,roadCurvature,targetCurvature,uncertaintyScale,variant,horizonSeconds,support1s,support2s,support3s,support4s,support4p8s,exitSupport,targetBoxHalfWidth4p8s,reserveSteer,reserveBrake
lead,0,0.02,1,nrmm-boxOnly,6.4,0.321077186809825,0.534259018153175,0.844330564772307,0.888091278033193,1.09224088211644,1.5988153026449,0.589250664691601,0.170144598740476,0.166633485718169
lead,0,0.02,1,nrmm-egoOnly,6.4,0.320866172058414,0.532822259256483,0.837902628642732,0.858845517805965,1.03145794489159,1.42228924451123,0.561729333292042,0.170144598740476,0.166633485718169
lead,0,0.02,1,nrmm-reactive30,6.4,0.321990017329417,0.521244176521994,0.818847080842901,0.848907055567047,1.02681497405225,1.42544607922343,0.561729333292042,0.174530490538555,0.192250898546516
lead,0,0.02,1,nrmm-reactive100,6.4,0.323977984302841,0.529094303266417,0.82754704547775,0.869965948812852,1.04824677243703,1.44730120838738,0.561729333292042,0.170571195068588,0.174755365703353
lead,0,0.02,3,cartesian-egoOnly,6.4,0.631159937722657,1.00851698395531,1.50172618831596,1.6486259471549,2.00130061742521,2.83429156001032,1.49831040000037,0.170144598740476,0.166633485718169
lead,0,0.02,3,nrmm-boxOnly,6.4,0.632411597218853,1.01650938957945,1.54012777716535,1.75146043003936,2.19037208884679,3.33921699296716,1.68738187142194,0.170144598740476,0.166633485718169
lead,0,0.02,3,nrmm-egoOnly,6.4,0.631921819628439,1.01473064783961,1.52757606013455,1.71224822705145,2.11853240202034,3.14812010644077,1.6155421845955,0.170144598740476,0.166633485718169
lead,0,0.02,3,nrmm-reactive30,6.4,0.657427012737174,1.05202946332063,1.58534569240671,1.86016042666908,2.31004798115226,3.3828820094829,1.6155421845955,0.182264598033398,0.234512363474749
lead,0,0.02,3,nrmm-reactive100,6.4,0.659985061108163,1.06348970837875,1.59291249270536,1.89928863377802,2.35119547752524,3.42705890391802,1.6155421845955,0.172726914725754,0.188372569731384
lead,0,0.02,10,cartesian-egoOnly,6.4,1.71615993772267,2.6666602403739,3.79908172940585,4.30862594715494,5.18770061742526,7.20789156001038,4.68471040000042,0.170144598740476,0.166633485718169
lead,0,0.02,10,nrmm-boxOnly,6.4,1.72976522751847,2.70191149429999,3.76398737145046,4.89939108049626,6.2865000554387,10.2220670735386,5.78350983801385,0.170144598740476,0.166633485718169
lead,0,0.02,10,nrmm-egoOnly,6.4,1.72532824557688,2.67761088130217,3.68543495611053,4.65942877014841,5.83575278865955,8.96038414154281,5.3327625712347,0.170144598740476,0.166633485718169
lead,0,0.02,10,nrmm-reactive30,6.4,2.03168859794407,3.41542992838479,4.97276156392303,6.94881316724925,8.95904443853851,14.1328141769597,5.3327625712347,0.223426230293862,0.590592171198525
lead,0,0.02,10,nrmm-reactive100,6.4,2.02099616581279,3.41804902647865,4.96681749240907,6.95722569626863,8.97143803698374,14.1444478450479,5.3327625712347,0.184967465388137,0.298142853732398
