scenario,roadCurvature,targetCurvature,uncertaintyScale,variant,horizonSeconds,support1s,support2s,support3s,support4s,support4p8s,exitSupport,targetBoxHalfWidth4p8s,reserveSteer,reserveBrake
crossing,0.01,0.02,1,nrmm-reactive100,4.8,0.517376758943065,0.819026294306465,1.06147525146786,1.43050210651083,1.71069190127334,1.71906286902377,0.78584369100613,0.189847930902621,0.191627211555582
crossing,0.01,0.02,3,cartesian-egoOnly,4.8,0.845636754427718,1.47413491567561,1.82254030455918,2.77412472619899,3.6411778482344,3.70932097549413,2.4272832000004,0.189843520831449,0.183074803712971
crossing,0.01,0.02,3,nrmm-boxOnly,4.8,1.01667419542601,1.9669952272797,2.51175517059618,3.79706881862886,4.84339778169414,4.93440293679799,3.60983826093623,0.189843520831449,0.183074803712971
crossing,0.01,0.02,3,nrmm-egoOnly,4.8,0.905348999659719,1.63535497978938,2.00688930271374,2.929572482558,3.65867644779863,3.72343054825587,2.524455895629,0.189843520831449,0.183074803712971
crossing,0.01,0.02,3,nrmm-reactive30,4.8,0.881226073027941,1.39746805268237,1.98070191813602,2.82417754094794,3.51360678567295,3.53986773484369,2.524455895629,0.189901863310789,0.23970121235113
crossing,0.01,0.02,3,nrmm-reactive100,4.8,0.883263429942855,1.40668252895155,1.99269760432329,2.83501945490931,3.52387688922883,3.54984260942572,2.524455895629,0.189856949347047,0.201166383054887
crossing,0.01,0.02,10,cartesian-egoOnly,4.8,1.99921813750282,3.41051891342254,3.96470340618179,5.77292124769095,7.23889024387913,7.39476450575742,5.61368320000045,0.189843520831449,0.183074803712971
crossing,0.01,0.02,10,nrmm-boxOnly,4.8,2.76528306559318,5.67828702087867,7.53354644388084,12.1131212383172,16.0301293188201,16.4459164569586,13.6660131784003,0.189843520831449,0.183074803712971
crossing,0.01,0.02,10,nrmm-egoOnly,4.8,2.31473005296183,4.4415568120585,5.64375449257611,8.7832186263733,11.4129859403923,11.6789902776416,9.54963496363281,0.189843520831449,0.183074803712971
crossing,0.01,0.02,10,nrmm-reactive30,4.8,2.24721666613452,3.73115060253455,5.57916528965456,8.48195062955034,11.0003066241378,11.1540936836651,9.54963496363281,0.200881357335193,0.429976910719381
crossing,0.01,0.02,10,nrmm-reactive100,4.8,2.24399461734434,3.71513666184538,5.60559210054783,8.50982161296954,11.0266741210594,11.1794210368274,9.54963496363281,0.192894359445511,0.257747799117721
lead,0,0.02,1,cartesian-egoOnly,6.4,0.321159937722653,0.534761767835718,0.845338890861707,0.888625947154893,1.0909006174252,1.5846915600103,0.587910400000358,0.170144598740476,0.166633485718169
