caseIndex,group,scenario,curvature,parameters,completed,passed,executedHolds,failureIdentifier,failureMessage,minimumNodeGapM,minimumSampledGapM,minimumRoadMarginM,minimumDomainMargin,maximumClfResidual,maximumSlewViolation,maximumFrameMs,deadlineMisses,minimumSpeedMps,maximumAbsoluteHeadingRad
70,samplePeriod,crossing,0.01,"[""SampleTime"",0.2]",1,1,240,,"",1.15463249600559,1.11584432381961,NaN,-0.798213812672117,-3.08290783079649e-06,0,17.222,0,3.84246530891968,0.819825437537306
71,slew,crossing,0.01,"[""SteeringRateMaximum"",0.3,""BrakingRatioRateMaximum"",2]",1,1,240,,"",0.637220436353234,0.629270152325144,NaN,-0.287087000175172,-3.01951347789269e-06,0,52.634,1,5.46670324723603,0.396646405825422
72,slew,crossing,0.01,"[""SteeringRateMaximum"",0.7,""BrakingRatioRateMaximum"",2]",1,1,240,,"",0.267352795594145,0.267352795594145,NaN,-0.0581023047799743,-4.26641924789546e-06,0,52.227,1,5.83575134441276,0.458091915384489
73,speed,cruise,0,"[""ReferenceSpeed"",2]",1,1,240,,"",Inf,Inf,NaN,0.4,-2.62376085971569e-05,0,18.557,0,1.99999999823063,5.81311391767599e-24
74,speed,cruise,0,"[""ReferenceSpeed"",5]",1,1,240,,"",Inf,Inf,NaN,0.4,-9.99341240055167e-06,0,12.177,0,4.99999993850621,2.27202863395871e-22
75,speed,cruise,0,"[""ReferenceSpeed"",12]",1,1,240,,"",Inf,Inf,NaN,0.4,-9.24983315410908e-06,0,11.935,0,12,8.98695681464466e-22
76,speed,cruise,0,"[""ReferenceSpeed"",18]",1,1,240,,"",Inf,Inf,NaN,-7.35563290277241e-07,-1.52508750187317e-05,0,11.525,0,18,1.0648232421249e-21
77,friction,cruise,0,"[""FrictionCoefficient"",[0.2,0.2]]",1,1,240,,"",Inf,Inf,NaN,0.4,-4.6002509309098e-06,0,13.469,0,7.99999866259996,4.62242326681578e-21
78,friction,cruise,0,"[""FrictionCoefficient"",[0.4,0.4]]",1,1,240,,"",Inf,Inf,NaN,0.4,-1.02924171523445e-05,0,13.015,0,8,1.21555995889143e-20
79,friction,cruise,0,"[""FrictionCoefficient"",[1,1]]",1,1,240,,"",Inf,Inf,NaN,0.4,-8.42254880823345e-06,0,12.18,0,7.99999999414062,2.56029494363063e-22
80,samplePeriod,cruise,0,"[""SampleTime"",0.02]",1,1,240,,"",Inf,Inf,NaN,0.4,-1.68836486039787e-05,0,32.122,8,7.99999996088997,7.96766462818377e-23
81,samplePeriod,cruise,0,"[""SampleTime"",0.1]",1,1,240,,"",Inf,Inf,NaN,0.4,-7.08964080961043e-06,0,8.416,0,8,3.09221244185458e-21
82,samplePeriod,cruise,0,"[""SampleTime"",0.2]",1,1,240,,"",Inf,Inf,NaN,0.4,-4.04643682225511e-06,0,6.945,0,8,7.43962027227942e-21
83,slew,cruise,0,"[""SteeringRateMaximum"",0.3,""BrakingRatioRateMaximum"",2]",1,1,240,,"",Inf,Inf,NaN,0.4,-5.97861892098265e-06,0,12.161,0,8,5.56082601318177e-20
84,slew,cruise,0,"[""SteeringRateMaximum"",0.7,""BrakingRatioRateMaximum"",2]",1,1,240,,"",Inf,Inf,NaN,0.4,-8.32391212882882e-06,0,11.826,0,7.99999939893781,8.84889473703412e-20
85,speed,cruise,0.01,"[""ReferenceSpeed"",2]",1,1,240,,"",Inf,Inf,NaN,0.3838153732636,-2.50881346508133e-05,0,12.668,0,1.9999999874862,0.0161846267363997
86,speed,cruise,0.01,"[""ReferenceSpeed"",5]",1,1,240,,"",Inf,Inf,NaN,0.385491874723753,-9.45157731341989e-06,0,13.53,0,4.99999956085541,0.014508125276247
87,speed,cruise,0.01,"[""ReferenceSpeed"",12]",1,1,240,,"",Inf,Inf,NaN,0.395585775006602,-9.5043123605085e-06,0,11.99,0,12,0.00441422499322496
88,speed,cruise,0.01,"[""ReferenceSpeed"",18]",1,1,240,,"",Inf,Inf,NaN,-2.65287323486518e-06,-1.80043485764562e-05,0,12.43,0,18,0.0133523349049501
89,friction,cruise,0.01,"[""FrictionCoefficient"",[0.2,0.2]]",1,1,240,,"",Inf,Inf,NaN,0.389227645920435,-4.34334789468923e-06,0,12.391,0,7.99999904743268,0.0107723540794999
90,friction,cruise,0.01,"[""FrictionCoefficient"",[0.4,0.4]]",1,1,240,,"",Inf,Inf,NaN,0.388851573508721,-5.78190203033171e-06,0,12.186,0,8,0.0111484264912789
91,friction,cruise,0.01,"[""FrictionCoefficient"",[1,1]]",1,1,240,,"",Inf,Inf,NaN,0.38866291287779,-7.66116183804006e-06,0,12.111,0,7.99999939865106,0.0113370871220471
92,samplePeriod,cruise,0.01,"[""SampleTime"",0.02]",1,1,240,,"",Inf,Inf,NaN,0.388683945357817,-1.60883599565198e-05,0,22.364,10,7.99999867119142,0.0113160546421833
93,samplePeriod,cruise,0.01,"[""SampleTime"",0.1]",1,1,240,,"",Inf,Inf,NaN,0.388683946930981,-6.65647343441822e-06,0,9.232,0,8,0.0113160530684502
94,samplePeriod,cruise,0.01,"[""SampleTime"",0.2]",1,1,240,,"",Inf,Inf,NaN,0.388683848246466,-4.16039600671517e-06,0,7.539,0,8,0.0113161514282897
95,slew,cruise,0.01,"[""SteeringRateMaximum"",0.3,""BrakingRatioRateMaximum"",2]",1,1,240,,"",Inf,Inf,NaN,0.386676159060482,-2.46726633752164e-06,0,12.775,0,7.99976696219375,0.013250582534926
96,slew,cruise,0.01,"[""SteeringRateMaximum"",0.7,""BrakingRatioRateMaximum"",2]",1,1,240,,"",Inf,Inf,NaN,0.388682256552365,-5.20240219399538e-06,0,12.807,0,7.99999751230118,0.0113177431323784
97,noiseSeed,stationary,0.01,"[""Seed"",2.0260925E+7,""EgoErrorBound"",[0.03,0.03,0.003,0.03,0.03,0.003],""TargetErrorBound"",[0.30000000000000004,0.30000000000000004,0.15000000000000002,0.15000000000000002,0.03,0.03,0.03,0.03]]",1,1,240,,"",1.67649963904247,1.67260218533435,NaN,-0.395876266843469,-0.00225246273705838,0,61.756,1,5.91024722307221,0.795504396784633
98,noiseSeed,stationary,0.01,"[""Seed"",2.0260926E+7,""EgoErrorBound"",[0.03,0.03,0.003,0.03,0.03,0.003],""TargetErrorBound"",[0.30000000000000004,0.30000000000000004,0.15000000000000002,0.15000000000000002,0.03,0.03,0.03,0.03]]",1,1,240,,"",1.73171699976459,1.72402146325649,NaN,-0.390216483359806,-0.00532414318568053,0,51.968,1,5.9901847501275,0.78995511275303
