case,seed,duration,positionRmse,velocityRmse,accelerationRmse,targetHeadingRmse,egoPositionRmse,egoVelocityRmse,egoYawRmse,positionStartupPeak,positionPostTransientPeak,bodyVelocityStartupPeak,accelerationStartupPeak,accelerationPostTransientPeak,positionSettleTo015MSeconds,domainValidFraction,speedViolationFraction,scalarAccelerationViolationFraction,curvatureViolationFraction,rangeViolationFraction,boundContainmentFraction,boundMeanM,boundMaximumM,boundMinimumSlackM,stepMedianMs,stepP95Ms,stepMaximumMs,deadlineMisses,curvatureLagS,bandwidthPerS,outagePositionPeakM,postReacquisitionAccelerationPeakMps2,positionRecoveryTo015MSeconds,passTimeS,positionErrorPeakAroundPassM,accelerationErrorPeakAroundPassMps2
varying-noise,110,12,0.032836739659136374,0.1443933122096023,0.32474576686633533,0.005912055839337676,0.013104826264793415,0.011574735969976196,0.0008319674108596621,1.118033988749895,0.06945794796658805,3.8929616201241424,5.173643302767461,1.275634664993924,0.52,1.0,0.0,0.0,0.0,0.0,1.0,1.7538203772622458,1.99701557630085,1.3735484833026574,2.1295,2.5483999999999996,6.015000000000001,0,0.5800000000000001,2.5919551157794425,,,,,,
dropout-noise,101,12,0.036456737363040684,0.13567889632584332,0.20402981027319073,0.004662130539323555,0.013580488135931741,0.01051788251274569,0.0008852769421691516,1.118033988749895,0.1297516133101898,3.744240786898805,5.118588651841755,0.7584641317008086,0.5,1.0,0.0,0.0,0.0,0.0,1.0,5.937644188401338,87.6716475046692,1.3934449386039602,2.114,2.3592499999999985,6.2589999999999995,0,,2.5910462926477833,0.1297516133101898,0.7584641317008086,0.0,,,
dropout-noise,102,12,0.030160874644509242,0.1218762736341634,0.18434485722301716,0.0058688228391073766,0.012086750277729236,0.012075363922017624,0.0008825819102540839,1.118033988749895,0.06977195840304763,3.8286557236003635,5.0807765257088064,0.5204831759867878,0.5,1.0,0.0,0.0,0.0,0.0,1.0,5.9244047479146476,87.4203793750137,1.3996430977266463,2.094,2.2981499999999997,5.14,0,,2.5910462926477833,0.0607229572949772,0.5204831759867878,0.0,,,
dropout-noise,103,12,0.06755376323454261,0.21814012855263276,0.32069862426954937,0.01339628711542112,0.011851049770952839,0.012196563095370443,0.0008706364640348067,1.118033988749895,0.33147896244780073,3.7805227126642924,5.045025844210442,1.6887606894680482,5.08,0.9720558882235529,0.0,0.0,0.027944111776447105,0.0,1.0,5.924389892606801,87.4211444965524,1.3765069171930229,2.128,2.3541,4.997,0,,2.5910462926477833,0.33147896244780073,1.6887606894680482,0.08000000000000007,,,
dropout-noise,104,12,0.027466456678658154,0.11186572551994585,0.17045799858435043,0.004756210412898475,0.011642964108127683,0.012096386192105912,0.0008760708242667058,1.118033988749895,0.0630278245345637,3.7463718379633777,5.071562592347713,0.4031771200531974,0.5,1.0,0.0,0.0,0.0,0.0,1.0,5.928613722457938,87.5271863912773,1.3522089401343143,2.145,2.3480499999999997,5.524,0,,2.5910462926477833,0.05154686540383893,0.4031771200531974,0.0,,,
dropout-noise,105,12,0.035539959836043,0.13173483637140762,0.19720182782990517,0.006061117821122938,0.012501716468611397,0.01090575046542727,0.0008461658891364833,1.118033988749895,0.10520552698663398,3.688218460664508,4.9871131504969695,0.5773705117898975,0.5,1.0,0.0,0.0,0.0,0.0,1.0,5.929946192177381,87.4976101481999,1.3697742408822948,2.15,2.3352,5.513,0,,2.5910462926477833,0.10520552698663398,0.5773705117898975,0.0,,,
dropout-noise,106,12,0.03194410008777971,0.1288076058279807,0.19495359954297078,0.005760213080481238,0.013286128543824337,0.01222174322945122,0.0008942838976871382,1.118033988749895,0.07130031552591029,3.849261866357861,5.133896331854387,0.4459051335290692,0.5,1.0,0.0,0.0,0.0,0.0,1.0,5.925865591626717,87.4640620511686,1.402862241794657,2.1719999999999997,2.4545999999999997,5.36,0,,2.5910462926477833,0.036187192249057684,0.434847335439092,0.0,,,
dropout-noise,107,12,0.04208967298693466,0.14744412516199124,0.2186160528204655,0.007927268027931832,0.01045237701172611,0.011137366989464381,0.0008433506476989157,1.118033988749895,0.17755944014113187,3.688904972118131,5.015627347720287,0.8222192170669943,5.02,1.0,0.0,0.0,0.0,0.0,1.0,5.93209531456671,87.5237076136691,1.3944093144290501,2.1069999999999998,2.25425,5.117,0,,2.5910462926477833,0.17755944014113187,0.8222192170669943,0.0,,,
dropout-noise,108,12,0.0363647047799639,0.13371205379279472,0.20089456103257336,0.005882479964399944,0.012850331612494284,0.01168809823963855,0.0008813630205796339,1.118033988749895,0.11248966627639262,3.893185197534821,5.163571141612783,0.6315912076012443,0.52,1.0,0.0,0.0,0.0,0.0,1.0,5.925620726791179,87.3997509952069,1.389330015357296,2.121,2.3832999999999998,5.28,0,,2.5910462926477833,0.11248966627639262,0.6315912076012443,0.0,,,
dropout-noise,109,12,0.047389773982411273,0.15921974863513727,0.2357037142377423,0.005101993693656601,0.010818434955037072,0.011077082178442617,0.0008543787729232725,1.118033988749895,0.2014966907007028,3.6772920759220074,4.955692424978329,1.0534843751144858,5.04,1.0,0.0,0.0,0.0,0.0,1.0,5.921797497999266,87.3008064805686,1.366651192382347,2.095,2.3572,5.141,0,,2.5910462926477833,0.2014966907007028,1.0534843751144858,0.040000000000000036,,,
