Case,Estimator,Seed,PositionRmse,PositionMaximum,PositionStartupMaximum,VelocityRmse,VelocityMaximum,VelocityStartupMaximum,AccelerationRmse,AccelerationMaximum,AccelerationStartupMaximum,DomainValidFraction,CurvatureLagS,PositionBoundMeanM,PositionBoundContainmentFraction,MinimumPositionBoundSlackM,MedianStepMs,P95StepMs,MaximumStepMs
retained-noise-25Hz,baseline-high-gain,76,0.06651035251495545,0.1380651956781849,1.118033988749895,0.6675734347456708,1.3196678052966606,11.626641382290893,2.505738350164649,5.14185586764956,36.72571897831188,0.40239043824701193,,3.215210523562581,1.0,2.384916811383554,2.9295,3.2472,6.718
retained-noise-25Hz,baseline-high-gain,77,0.07235307839007266,0.1564052995515712,1.118033988749895,0.725438215906672,1.5673474325213967,10.966332972463055,2.716927566623789,5.712312879037974,34.543070822776656,0.350597609561753,,3.2156062865276027,1.0,2.404776773944804,2.9405,3.12345,6.766
retained-noise-25Hz,baseline-high-gain,78,0.07206053801471388,0.16460170488124257,1.118033988749895,0.7292238210227124,1.7463118137114928,10.88733729039906,2.7358532173783647,6.418078966019622,34.12652151814936,0.3904382470119522,,3.216225694794882,1.0,2.355198572174454,2.949,3.115,6.92
retained-noise-25Hz,baseline-high-gain,79,0.07237907086758122,0.13456890734395696,1.118033988749895,0.722582840804614,1.5464058131996141,11.160375556461462,2.700561508260706,6.205045348958203,34.95254983233741,0.4063745019920319,,3.2152050346387044,1.0,2.4709703244786048,2.9295,3.10815,6.751
retained-noise-25Hz,baseline-high-gain,80,0.07215848207732534,0.13681117855425462,1.118033988749895,0.7194839025616799,1.522003130087444,10.725179742145707,2.6891435248979234,5.662707881495027,33.64177012866547,0.3944223107569721,,3.213875789634894,1.0,2.3166159951730827,2.927,3.0599999999999996,6.9030000000000005
retained-noise-25Hz,structured-high-gain,71,0.04325077862087416,0.09879125970526983,1.118033988749895,0.18390108096626612,0.3812276447845537,4.161273466924205,0.2779363326506795,0.5370296768710707,5.389166447726269,1,,3.2311238394069637,1.0,2.7327164897429523,2.931,3.1364500000000004,6.912
retained-noise-25Hz,structured-high-gain,72,0.041156975066891775,0.09326394930981687,1.118033988749895,0.1712725936291487,0.4098213623379263,4.109015197243942,0.25745061559909277,0.6596712637338707,5.24144448827003,1,,3.2282029418768805,1.0,2.668655214151889,2.898,3.3282,6.824
retained-noise-25Hz,structured-high-gain,73,0.04260169612397483,0.12811359874788072,1.118033988749895,0.1760323760532863,0.4055249613032346,4.114596938710247,0.26909933343752307,0.6017668149848553,5.410578430628173,1,,3.2320152869926395,1.0,2.72889464189276,2.9299999999999997,3.0901,6.843
retained-noise-25Hz,structured-high-gain,74,0.04470747820731351,0.09127436548159348,1.118033988749895,0.18012020835792805,0.3974797259723312,4.080114740938319,0.26848070102097915,0.6030882836283393,5.224436517167357,1,,3.230542795928691,1.0,2.6963500365274107,2.911,3.0601499999999997,6.891
retained-noise-25Hz,structured-high-gain,75,0.04678445774258454,0.0980882251427095,1.118033988749895,0.19122177289452627,0.42869543470485705,4.075165422533971,0.28575848284908456,0.6698580750895309,5.207170186470314,1,,3.2322922451801,1.0,2.7287809088574484,2.868,3.1862,6.927
