scenario,planTime,stage,time,axle,anchorBeta,candidateBeta,betaSlope,anchorSteering,candidateSteering,anchorForce,betaForceChange,affineForce,nonlinearForce,capacity,slip
sCurve,1.35,5,1.55,1,0.0157983314063669,0.00983290286342806,-5.35256855252062,-0.00325464215590954,-0.036582972845498,2342.37397251959,0.0319303652212435,4027.70042394603,4094.9865220672,6504.95879251201,-0.0407229431717753
sCurve,1.35,5,1.55,2,0.0157983314063669,0.00983290286342806,0.110358459430937,-0.00325464215590954,-0.036582972845498,-363.06742526664,-0.000658335503844075,-1227.78248882147,-1250.54790160676,6454.84342717023,0.008469620631803
sCurve,1.35,6,1.6,1,0.0150728413186645,0.0186447229122506,-3.12999809214972,0.00828397341495878,-0.0162002086972317,1873.08160921367,-0.0111799825733094,2775.94088200364,2959.95686458567,6504.14248612381,-0.0264828800683891
sCurve,1.35,6,1.6,2,0.0150728413186645,0.0186447229122506,0.00749294995307888,0.00828397341495878,-0.0162002086972317,-97.7684830520766,2.67639300190648e-05,-620.936759280524,-646.424133233529,6454.03340975236,0.00422628529707735
sCurve,1.35,7,1.65,1,0.0147197987517577,0.0197786431968381,-1.68156249155258,0.0156311487328584,-0.000630302382527911,1416.2377328618,-0.00850676306944628,2188.87050207285,2337.30053401671,6504.00074570399,-0.0199404656133166
sCurve,1.35,7,1.65,2,0.0147197987517577,0.0197786431968381,-0.00711753450988986,0.0156311487328584,-0.000630302382527911,96.4289777263242,-3.60064999180241e-05,-269.858253696209,-297.915601867382,6453.89276132607,0.00191092395847636
sCurve,1.35,8,1.7,1,0.0142879351153121,0.0191059765688636,-0.860033008047273,0.0200078460420722,0.0104764260010586,1043.36333028179,-0.00414367468419427,1755.19564993585,1858.57986410651,6504.08583901282,-0.0153406676429093
sCurve,1.35,8,1.7,2,0.0142879351153121,0.0191059765688636,-0.0371042757454237,0.0200078460420722,0.0104764260010586,222.487601016842,-0.000178769938645454,-40.2421581949461,-64.9872622628904,6453.97719906084,0.000411752906683493
sCurve,1.35,9,1.75,1,0.0137882118864517,0.0182092210126997,-0.539791524103158,0.0230424941287636,0.0188503918201187,847.763294217314,-0.00238642325433138,1481.61318675109,1542.12086986439,6504.19469968685,-0.0124708072500274
sCurve,1.35,9,1.75,2,0.0137882118864517,0.0182092210126997,-0.0651513252816745,0.0230424941287636,0.0188503918201187,299.30061702368,-0.000288034603657435,117.2061205826,100.716659344193,6454.08522105278,-0.000639321317575562
sCurve,1.35,10,1.8,1,0.0132222002959284,0.0177949067124542,-0.340012248371648,0.0248665210012967,0.026367834075929,691.130201750388,-0.0015547761898264,1430.51266999797,1439.38672953377,6504.24322721385,-0.0115654185906424
sCurve,1.35,10,1.8,2,0.0132222002959284,0.0177949067124542,-0.086215141928322,0.0248665210012967,0.026367834075929,350.948459691128,-0.000394236532697321,237.762830471347,228.036057076656,6454.13337471504,-0.00145725239164182
